Enclosure_Type,Enclosure,Enclosure_H,Enclosure_W,Enclosure_D
MS,MAS0604030R5,600,400,300
MS,MAS0604040R5,600,400,400
MS,MAS0605030R5,600,500,300
MS,MAS0606030R5,600,600,300
MS,MAS0606040R5,600,600,400
MS,MAS0804030R5,800,400,300
MS,MAS0806030R5,800,600,300
MS,MAS0806040R5,800,600,400
MS,MAS0808030R5,800,800,300
MS,MAS0808040R5,800,800,400
MS,MAS1006030R5,1000,600,300
MS,MAS1006040R5,1000,600,400
MS,MAS1008030R5,1000,800,300
MS,MAS1008040R5,1000,800,400
MS,MAS1206030R5,1200,600,300
MS,MAS1206040R5,1200,600,400
MS,MAS1208030R5,1200,800,300
MS,MAS1208040R5,1200,800,400
SS304,ASR0606030,600,600,300
SS304,ASR0806030,800,600,300
SS304,ASR0808030,800,800,300
SS304,ASR1008030,1000,800,300
SS304,ASR1208030,1200,800,300
SS304,ASR1208040,1200,800,400
SS304,ASR1408040,1400,800,400
SS316,ASR0606030-316,600,600,300
SS316,ASR0808030-316,800,800,300
SS316,ASR0806030-316,800,600,300
SS316,ASR1008030-316,1000,800,300
SS316,ASR1208030-316,1200,800,300
SS316,ASR1208040-316,1200,800,400
SS316,ASR1408040-316,1400,800,400
