HP,Starter,Mains_Protection,Contactor_Main,Contactor_Delta,Contactor_Star,Overload Relay,HRC_Fuse,Circuit_Breaker,Timer,Fuse_Disconnector_Switch
0.5,DOL,CB,LC1E09,NULL,NULL,LRE06,NULL,CVS100-MA,NULL,NULL
0.75,DOL,CB,LC1E09,NULL,NULL,LRE07,NULL,CVS100-MA,NULL,NULL
1,DOL,CB,LC1E09,NULL,NULL,LRE07,NULL,CVS100-MA,NULL,NULL
1.5,DOL,CB,LC1E09,NULL,NULL,LRE08,NULL,CVS100-MA,NULL,NULL
1.75,DOL,CB,LC1E09,NULL,NULL,LRE08,NULL,CVS100-MA,NULL,NULL
2,DOL,CB,LC1E09,NULL,NULL,LRE08,NULL,CVS100-MA,NULL,NULL
3,DOL,CB,LC1E18,NULL,NULL,LRE10,NULL,CVS100-MA,NULL,NULL
4,DOL,CB,LC1E18,NULL,NULL,LRE10,NULL,CVS100-MA,NULL,NULL
5,DOL,CB,LC1E25,NULL,NULL,LRE14,NULL,CVS100-MA,NULL,NULL
5.5,DOL,CB,LC1E25,NULL,NULL,LRE14,NULL,CVS100-MA,NULL,NULL
7.5,DOL,CB,LC1E32,NULL,NULL,LRE16,NULL,CVS100-MA,NULL,NULL
10,DOL,CB,LC1E32,NULL,NULL,LRE21,NULL,CVS100-MA,NULL,NULL
12.5,DOL,CB,LC1E32,NULL,NULL,LRE21,NULL,CVS100-MA,NULL,NULL
15,DOL,CB,LC1E40B,NULL,NULL,LRE22,NULL,CVS100-MA,NULL,NULL
17.5,DOL,CB,LC1E40B,NULL,NULL,LRE22,NULL,CVS100-MA,NULL,NULL
20,DOL,CB,LC1E50,NULL,NULL,LRE353,NULL,CVS100-MA,NULL,NULL
25,DOL,CB,LC1E65,NULL,NULL,LRE355,NULL,CVS100-MA,NULL,NULL
30,DOL,CB,LC1E65,NULL,NULL,LRE357,NULL,CVS100-MA,NULL,NULL
0.16,DOL,Fuse,LC1E09,NULL,NULL,LRE04,4NHG000B,NULL,NULL,NX032
0.25,DOL,Fuse,LC1E09,NULL,NULL,LRE04,4NHG000B,NULL,NULL,NX032
0.33,DOL,Fuse,LC1E09,NULL,NULL,LRE05,4NHG000B,NULL,NULL,NX032
0.5,DOL,Fuse,LC1E09,NULL,NULL,LRE06,4NHG000B,NULL,NULL,NX032
0.75,DOL,Fuse,LC1E09,NULL,NULL,LRE06,4NHG000B,NULL,NULL,NX032
1,DOL,Fuse,LC1E09,NULL,NULL,LRE07,6NHG000B,NULL,NULL,NX032
1.5,DOL,Fuse,LC1E09,NULL,NULL,LRE08,10NHG000B,NULL,NULL,NX032
1.75,DOL,Fuse,LC1E09,NULL,NULL,LRE08,10NHG000B,NULL,NULL,NX032
2,DOL,Fuse,LC1E09,NULL,NULL,LRE08,10NHG000B,NULL,NULL,NX032
3,DOL,Fuse,LC1E09,NULL,NULL,LRE10,16NHG000B,NULL,NULL,NX032
4,DOL,Fuse,LC1E09,NULL,NULL,LRE12,20NHG000B,NULL,NULL,NX032
5,DOL,Fuse,LC1E09,NULL,NULL,LRE14,20NHG000B,NULL,NULL,NX032
5.5,DOL,Fuse,LC1E09,NULL,NULL,LRE14,20NHG000B,NULL,NULL,NX032
7.5,DOL,Fuse,LC1E12,NULL,NULL,LRE16,25NHG000B,NULL,NULL,NX032
10,DOL,Fuse,LC1E18,NULL,NULL,LRE21,32NHG000B,NULL,NULL,NX063
